question_id,question_type,evidence_phrases,gold_node_count,gold_page_count,gold_node_ids,gold_pages,mapping_notes
FIN011,表格 + 产品说明,NVIDIA Data Center | Microsoft Azure/Copilot | Apple Services,6,19,T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1;T_FIN_02_Microsoft_Annual_Report_22_5;T_FIN_02_Microsoft_Annual_Report_23_1;T_FIN_03_Apple_10K_5_2;T_FIN_03_Apple_10K_5_1,4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71;26;27;38,"NVIDIA Data Center -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_5_5,T_FIN_01_NVIDIA_10K_4_1 || Microsoft Azure/Copilot -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_5,T_FIN_02_Microsoft_Annual_Report_23_1 || Apple Services -> FIN_03_Apple_10K:p4,5,26,27,38:T_FIN_03_Apple_10K_5_2,T_FIN_03_Apple_10K_5_1"
FIN012,文本 + 产品路线,NVIDIA Blackwell/Rubin | Microsoft AI innovation | Apple Products/Services,6,19,T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;T_FIN_02_Microsoft_Annual_Report_2_1;T_FIN_02_Microsoft_Annual_Report_3_5;T_FIN_03_Apple_10K_5_2;T_FIN_03_Apple_10K_5_1,4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71;26;27;38,"NVIDIA Blackwell/Rubin -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_4_1,T_FIN_01_NVIDIA_10K_4_7 || Microsoft AI innovation -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_2_1,T_FIN_02_Microsoft_Annual_Report_3_5 || Apple Products/Services -> FIN_03_Apple_10K:p4,5,26,27,38:T_FIN_03_Apple_10K_5_2,T_FIN_03_Apple_10K_5_1"
FIN013,财务表格 + 文本,NVIDIA Data Center Revenue 表 | Microsoft Azure Revenue 表 | Apple Net Sales by Product/Service 表,6,11,TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1,81;22;23;24;25;71;4;5;26;27;38,"NVIDIA Data Center Revenue 表 -> FIN_01_NVIDIA_10K:p81:TB_FIN_01_NVIDIA_10K_81_2,TB_FIN_01_NVIDIA_10K_81_1 || Microsoft Azure Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2 || Apple Net Sales by Product/Service 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_38_1,TB_FIN_03_Apple_10K_26_1"
FIN014,地区收入表 + 全球布局图表,Apple Net Sales by Reportable Segment | Microsoft Datacenter Regions,4,5,TB_FIN_03_Apple_10K_50_1;T_FIN_03_Apple_10K_25_1;T_FIN_02_Microsoft_Annual_Report_2_2;T_FIN_02_Microsoft_Annual_Report_16_1,25;50;2;16;62,"Apple Net Sales by Reportable Segment -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_50_1,T_FIN_03_Apple_10K_25_1 || Microsoft Datacenter Regions -> FIN_02_Microsoft_Annual_Report:p2,16,62:T_FIN_02_Microsoft_Annual_Report_2_2,T_FIN_02_Microsoft_Annual_Report_16_1"
FIN015,财务表格 + 指标数据,NVIDIA Segment Revenue 表 | Microsoft Azure/AI metrics 表,4,13,TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;T_FIN_02_Microsoft_Annual_Report_22_2;T_FIN_02_Microsoft_Annual_Report_22_1,79;80;81;2;3;10;12;13;22;23;24;25;71,"NVIDIA Segment Revenue 表 -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_80_1 || Microsoft Azure/AI metrics 表 -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_2,T_FIN_02_Microsoft_Annual_Report_22_1"
FIN016,分部表格 + 业务说明,NVIDIA Segment 表 | Apple Segment 表 | Microsoft Business Segment 表,6,10,C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1;TB_FIN_03_Apple_10K_25_1;TB_FIN_03_Apple_10K_50_2;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_11_1,79;80;81;25;50;10;11;12;68;71,"NVIDIA Segment 表 -> FIN_01_NVIDIA_10K:p79,80,81:C_FIN_01_NVIDIA_10K_80_1,C_FIN_01_NVIDIA_10K_81_1 || Apple Segment 表 -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_25_1,TB_FIN_03_Apple_10K_50_2 || Microsoft Business Segment 表 -> FIN_02_Microsoft_Annual_Report:p10,11,12,68,71:TB_FIN_02_Microsoft_Annual_Report_71_1,T_FIN_02_Microsoft_Annual_Report_11_1"
FIN017,产品收入表 + 分部收入表,Apple Product Revenue 表 | NVIDIA Segment Revenue 表,4,8,TB_FIN_03_Apple_10K_4_1;TB_FIN_03_Apple_10K_27_2;TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1,4;5;26;27;38;79;80;81,"Apple Product Revenue 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_4_1,TB_FIN_03_Apple_10K_27_2 || NVIDIA Segment Revenue 表 -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_80_1"
FIN018,回购表 + 现金流表,Microsoft Share Repurchase 表 | Apple Capital Return/Cash Flow 表,4,6,TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;TB_FIN_03_Apple_10K_35_1;TB_FIN_03_Apple_10K_36_1,6;64;65;22;35;36,"Microsoft Share Repurchase 表 -> FIN_02_Microsoft_Annual_Report:p6,64,65:TB_FIN_02_Microsoft_Annual_Report_64_1,TB_FIN_02_Microsoft_Annual_Report_64_2 || Apple Capital Return/Cash Flow 表 -> FIN_03_Apple_10K:p22,35,36:TB_FIN_03_Apple_10K_35_1,TB_FIN_03_Apple_10K_36_1"
FIN019,风险表格 + 文本,Apple Supply Components | NVIDIA Risk Factors,4,8,T_FIN_03_Apple_10K_11_9;T_FIN_03_Apple_10K_12_9;T_FIN_01_NVIDIA_10K_38_1;TB_FIN_01_NVIDIA_10K_20_1,11;12;16;20;23;28;36;38,"Apple Supply Components -> FIN_03_Apple_10K:p11,12:T_FIN_03_Apple_10K_11_9,T_FIN_03_Apple_10K_12_9 || NVIDIA Risk Factors -> FIN_01_NVIDIA_10K:p16,20,23,28,36,38:T_FIN_01_NVIDIA_10K_38_1,TB_FIN_01_NVIDIA_10K_20_1"
FIN020,产品分类表 + 平台说明,Microsoft AI Products | NVIDIA Platform Stack | Apple Services 表,6,19,T_FIN_02_Microsoft_Annual_Report_12_5;T_FIN_02_Microsoft_Annual_Report_25_1;T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;TB_FIN_03_Apple_10K_27_2;TB_FIN_03_Apple_10K_4_1,2;3;10;12;13;22;23;24;25;71;4;5;6;7;9;81;26;27;38,"Microsoft AI Products -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_12_5,T_FIN_02_Microsoft_Annual_Report_25_1 || NVIDIA Platform Stack -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:T_FIN_01_NVIDIA_10K_4_1,T_FIN_01_NVIDIA_10K_4_7 || Apple Services 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_27_2,TB_FIN_03_Apple_10K_4_1"
FIN021,收入表格 + 业务分析,Apple Services Revenue 表 | Microsoft Cloud Revenue 表,4,10,TB_FIN_03_Apple_10K_27_2;TB_FIN_03_Apple_10K_4_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2,4;5;26;27;38;22;23;24;25;71,"Apple Services Revenue 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_27_2,TB_FIN_03_Apple_10K_4_1 || Microsoft Cloud Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2"
FIN022,业务结构表 + 产品表,NVIDIA Segment | Microsoft AI Platform | Apple Products & Services,6,18,TB_FIN_01_NVIDIA_10K_80_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_13_4;T_FIN_02_Microsoft_Annual_Report_2_3;T_FIN_03_Apple_10K_5_1;TB_FIN_03_Apple_10K_38_1,79;80;81;2;3;10;12;13;22;23;24;25;71;4;5;26;27;38,"NVIDIA Segment -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_80_1,T_FIN_01_NVIDIA_10K_80_3 || Microsoft AI Platform -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_13_4,T_FIN_02_Microsoft_Annual_Report_2_3 || Apple Products & Services -> FIN_03_Apple_10K:p4,5,26,27,38:T_FIN_03_Apple_10K_5_1,TB_FIN_03_Apple_10K_38_1"
FIN023,地区收入表 + 子公司表,Apple Segment Revenue | Tesla Subsidiaries 表,4,5,TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_50_3;T_FIN_04_Tesla_10K_55_2;T_FIN_04_Tesla_10K_65_2,25;50;55;65;110,"Apple Segment Revenue -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_50_2,TB_FIN_03_Apple_10K_50_3 || Tesla Subsidiaries 表 -> FIN_04_Tesla_10K:p55,65,110:T_FIN_04_Tesla_10K_55_2,T_FIN_04_Tesla_10K_65_2"
FIN024,财务表格 + 用户指标,NVIDIA Revenue 表 | Microsoft Azure/Copilot 数据,4,14,TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2,53;55;57;81;2;3;10;12;13;22;23;24;25;71,"NVIDIA Revenue 表 -> FIN_01_NVIDIA_10K:p53,55,57,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_81_1 || Microsoft Azure/Copilot 数据 -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2"
FIN025,分部收入表 + 产品收入表,NVIDIA Segment Revenue 表 | Apple Net Sales by Product 表,4,8,TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1,79;80;81;4;5;26;27;38,"NVIDIA Segment Revenue 表 -> FIN_01_NVIDIA_10K:p79,80,81:TB_FIN_01_NVIDIA_10K_81_2,C_FIN_01_NVIDIA_10K_80_1 || Apple Net Sales by Product 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_38_1,TB_FIN_03_Apple_10K_26_1"
FIN026,收入表格 + 部门结构表,Apple Services Revenue 表 | Microsoft Segment Revenue 表,4,10,TB_FIN_03_Apple_10K_27_2;TB_FIN_03_Apple_10K_4_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2,4;5;26;27;38;22;23;24;25;71,"Apple Services Revenue 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_27_2,TB_FIN_03_Apple_10K_4_1 || Microsoft Segment Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2"
FIN027,财务表格,NVIDIA Data Center Revenue 表 | Microsoft Intelligent Cloud Revenue 表,4,6,TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_22_4,81;22;23;24;25;71,"NVIDIA Data Center Revenue 表 -> FIN_01_NVIDIA_10K:p81:TB_FIN_01_NVIDIA_10K_81_2,TB_FIN_01_NVIDIA_10K_81_1 || Microsoft Intelligent Cloud Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,T_FIN_02_Microsoft_Annual_Report_22_4"
FIN028,地区收入表 + 区域布局表,Apple Reportable Segment 表 | Microsoft Datacenter Regions 表,4,5,TB_FIN_03_Apple_10K_50_1;TB_FIN_03_Apple_10K_25_1;TB_FIN_02_Microsoft_Annual_Report_62_1;T_FIN_02_Microsoft_Annual_Report_2_2,25;50;2;16;62,"Apple Reportable Segment 表 -> FIN_03_Apple_10K:p25,50:TB_FIN_03_Apple_10K_50_1,TB_FIN_03_Apple_10K_25_1 || Microsoft Datacenter Regions 表 -> FIN_02_Microsoft_Annual_Report:p2,16,62:TB_FIN_02_Microsoft_Annual_Report_62_1,T_FIN_02_Microsoft_Annual_Report_2_2"
FIN029,分部收入表 + 产品收入表,NVIDIA Segment 表 | Microsoft Segment Revenue | Apple Product & Services Revenue,6,13,C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1;T_FIN_02_Microsoft_Annual_Report_22_4;T_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_5_1,79;80;81;22;23;24;25;71;4;5;26;27;38,"NVIDIA Segment 表 -> FIN_01_NVIDIA_10K:p79,80,81:C_FIN_01_NVIDIA_10K_80_1,C_FIN_01_NVIDIA_10K_81_1 || Microsoft Segment Revenue -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_4,T_FIN_02_Microsoft_Annual_Report_71_1 || Apple Product & Services Revenue -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_38_1,TB_FIN_03_Apple_10K_5_1"
FIN030,产品表格 + 分部表格,Apple Product Revenue 表 | NVIDIA Segment 表,4,8,TB_FIN_03_Apple_10K_4_1;TB_FIN_03_Apple_10K_27_2;C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1,4;5;26;27;38;79;80;81,"Apple Product Revenue 表 -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_4_1,TB_FIN_03_Apple_10K_27_2 || NVIDIA Segment 表 -> FIN_01_NVIDIA_10K:p79,80,81:C_FIN_01_NVIDIA_10K_80_1,C_FIN_01_NVIDIA_10K_81_1"
FIN031,回购表 + 现金流表,Microsoft Share Repurchase 表 | Apple Capital Return/Cash Flow 表,4,6,TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;TB_FIN_03_Apple_10K_35_1;TB_FIN_03_Apple_10K_36_1,6;64;65;22;35;36,"Microsoft Share Repurchase 表 -> FIN_02_Microsoft_Annual_Report:p6,64,65:TB_FIN_02_Microsoft_Annual_Report_64_1,TB_FIN_02_Microsoft_Annual_Report_64_2 || Apple Capital Return/Cash Flow 表 -> FIN_03_Apple_10K:p22,35,36:TB_FIN_03_Apple_10K_35_1,TB_FIN_03_Apple_10K_36_1"
FIN032,分部收入表 + 云业务表,NVIDIA Data Center Revenue | Microsoft Intelligent Cloud Revenue,4,6,TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_3;T_FIN_02_Microsoft_Annual_Report_22_4;T_FIN_02_Microsoft_Annual_Report_23_1,81;22;23;24;25;71,"NVIDIA Data Center Revenue -> FIN_01_NVIDIA_10K:p81:TB_FIN_01_NVIDIA_10K_81_2,TB_FIN_01_NVIDIA_10K_81_3 || Microsoft Intelligent Cloud Revenue -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_4,T_FIN_02_Microsoft_Annual_Report_23_1"
FIN033,服务收入表 + 云收入表,Apple Services Revenue | Microsoft Cloud Revenue 表,4,10,TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2,4;5;26;27;38;22;23;24;25;71,"Apple Services Revenue -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_38_1,TB_FIN_03_Apple_10K_26_1 || Microsoft Cloud Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2"
FIN034,收入表格 + 产品结构表,NVIDIA Segment Revenue | Apple Product Revenue,4,8,T_FIN_01_NVIDIA_10K_80_3;T_FIN_01_NVIDIA_10K_79_3;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_4_1,79;80;81;4;5;26;27;38,"NVIDIA Segment Revenue -> FIN_01_NVIDIA_10K:p79,80,81:T_FIN_01_NVIDIA_10K_80_3,T_FIN_01_NVIDIA_10K_79_3 || Apple Product Revenue -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_38_1,TB_FIN_03_Apple_10K_4_1"
FIN035,财务表格 + 业务指标,NVIDIA AI/Data Center 表 | Microsoft Azure/Copilot 指标表,4,16,TB_FIN_01_NVIDIA_10K_7_1;C_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2,4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71,"NVIDIA AI/Data Center 表 -> FIN_01_NVIDIA_10K:p4,5,6,7,9,81:TB_FIN_01_NVIDIA_10K_7_1,C_FIN_01_NVIDIA_10K_81_1 || Microsoft Azure/Copilot 指标表 -> FIN_02_Microsoft_Annual_Report:p2,3,10,12,13,22,23,24,25,71:TB_FIN_02_Microsoft_Annual_Report_71_1,TB_FIN_02_Microsoft_Annual_Report_71_2"
FIN036,分部表格 + 收入结构表,NVIDIA Segment 表 | Apple Product Revenue | Microsoft Segment Revenue,6,13,C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_4_1;T_FIN_02_Microsoft_Annual_Report_22_4;T_FIN_02_Microsoft_Annual_Report_71_1,79;80;81;4;5;26;27;38;22;23;24;25;71,"NVIDIA Segment 表 -> FIN_01_NVIDIA_10K:p79,80,81:C_FIN_01_NVIDIA_10K_80_1,C_FIN_01_NVIDIA_10K_81_1 || Apple Product Revenue -> FIN_03_Apple_10K:p4,5,26,27,38:TB_FIN_03_Apple_10K_38_1,TB_FIN_03_Apple_10K_4_1 || Microsoft Segment Revenue -> FIN_02_Microsoft_Annual_Report:p22,23,24,25,71:T_FIN_02_Microsoft_Annual_Report_22_4,T_FIN_02_Microsoft_Annual_Report_71_1"
FIN037,财务附注表格,Apple Deferred Revenue Note | Microsoft Unearned Revenue 表,4,7,TB_FIN_03_Apple_10K_38_1;T_FIN_03_Apple_10K_39_1;T_FIN_02_Microsoft_Annual_Report_22_4;T_FIN_02_Microsoft_Annual_Report_22_5,34;38;39;22;29;37;42,"Apple Deferred Revenue Note -> FIN_03_Apple_10K:p34,38,39:TB_FIN_03_Apple_10K_38_1,T_FIN_03_Apple_10K_39_1 || Microsoft Unearned Revenue 表 -> FIN_02_Microsoft_Annual_Report:p22,29,37,42:T_FIN_02_Microsoft_Annual_Report_22_4,T_FIN_02_Microsoft_Annual_Report_22_5"
