"question_id","doc_id","question","answer","question_type","gold_node_ids","gold_pages","gold_modalities","evidence_note"
"FIN020","金融类","Microsoft Azure、NVIDIA AI 平台和 Apple 服务生态分别依赖哪些核心产品或平台支撑？请结合表格和产品分类分析。","Microsoft 依赖 Azure、Copilot 和 AI Foundry；NVIDIA 依赖 GPU、CUDA 与 Blackwell 平台；Apple 依赖 App Store、iCloud、Apple Music 等服务生态。三家公司都通过平台化形成长期收入来源。","产品分类表 + 平台说明","T_FIN_02_Microsoft_Annual_Report_12_5;T_FIN_02_Microsoft_Annual_Report_25_1;T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;TB_FIN_03_Apple_10K_27_2;TB_FIN_03_Apple_10K_4_1","2;3;10;12;13;22;23;24;25;71;4;5;6;7;9;81;26;27;38","table;text","原编号：Q008；证据位置：Microsoft AI Products；NVIDIA Platform Stack；Apple Services 表；证据链说明：需要结合产品分类表与平台说明共同回答。"
"FIN022","金融类","NVIDIA、Microsoft 与 Apple 的 AI 战略分别对应产业链中的哪个环节？请结合业务结构表说明。","NVIDIA 位于 AI 算力基础设施层；Microsoft 位于 AI 云平台与企业应用层；Apple 位于终端设备与消费生态层。三家公司共同构成 AI 产业链不同层级。","业务结构表 + 产品表","TB_FIN_01_NVIDIA_10K_80_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_13_4;T_FIN_02_Microsoft_Annual_Report_2_3;T_FIN_03_Apple_10K_5_1;TB_FIN_03_Apple_10K_38_1","79;80;81;2;3;10;12;13;22;23;24;25;71;4;5;26;27;38","table;text","原编号：Q010；证据位置：NVIDIA Segment；Microsoft AI Platform；Apple Products & Services；证据链说明：需要跨多个业务结构表完成产业链定位分析。"
"FIN023","金融类","Apple 地区收入表与 Tesla 全球子公司分布信息共同体现了什么全球经营特点？","Apple 的收入高度国际化；Tesla 的大量海外子公司显示其全球制造与能源业务布局。两家公司都具有全球化运营特征，但 Apple 偏销售市场全球化，Tesla 偏制造与能源布局全球化。","地区收入表 + 子公司表","TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_50_3;T_FIN_04_Tesla_10K_55_2;T_FIN_04_Tesla_10K_65_2","25;50;55;65;110","table;text","原编号：Q011；证据位置：Apple Segment Revenue；Tesla Subsidiaries 表；证据链说明：需要跨文档整合地区收入与全球实体布局信息。"
"FIN025","金融类","NVIDIA 的 “Compute & Networking” 收入与 Apple 的 “Products” 收入分别占据各自公司的什么核心地位？两家公司收入结构有何不同？","NVIDIA 的收入高度集中于 Compute & Networking，体现 AI 算力平台驱动；Apple 的收入则主要来自 iPhone 等硬件产品。NVIDIA 更偏企业级 AI 基础设施，Apple 更偏消费电子终端。","分部收入表 + 产品收入表","TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1","79;80;81;4;5;26;27;38","table;text","原编号：Q013；证据位置：NVIDIA Segment Revenue 表；Apple Net Sales by Product 表；证据链说明：需要分别读取 NVIDIA 分部收入表与 Apple 产品收入表，对比核心收入来源。"
"FIN027","金融类","NVIDIA 与 Microsoft 在“基础设施型收入”上的增长分别体现在哪些表格数据中？","NVIDIA 的数据中心业务收入大幅增长；Microsoft 的 Intelligent Cloud 收入与 Azure 增长明显。两家公司都从 AI 基础设施需求中获益。","财务表格","TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_22_4","81;22;23;24;25;71","table;text","原编号：Q015；证据位置：NVIDIA Data Center Revenue 表；Microsoft Intelligent Cloud Revenue 表；证据链说明：对比 AI 基础设施相关收入结构变化。"
"FIN029","金融类","NVIDIA、Microsoft 与 Apple 哪家公司对“服务/平台型收入”的依赖程度更高？请结合业务表格说明。","Microsoft 对云与平台收入依赖最高；NVIDIA 对 AI 平台和数据中心收入依赖快速提升；Apple 仍以硬件销售为主，但服务收入占比持续增加。","分部收入表 + 产品收入表","C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1;T_FIN_02_Microsoft_Annual_Report_22_4;T_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_5_1","79;80;81;22;23;24;25;71;4;5;26;27;38","table;text","原编号：Q017；证据位置：NVIDIA Segment 表；Microsoft Segment Revenue；Apple Product & Services Revenue；证据链说明：需要综合比较不同公司收入结构。"
"FIN030","金融类","Apple 的产品分类表与 NVIDIA 的业务分部表体现了哪些不同的收入组织逻辑？","Apple 按终端产品分类（iPhone、Mac、iPad、Services）；NVIDIA 按技术平台与业务场景分类（Compute & Networking、Graphics）。Apple 更偏产品导向，NVIDIA 更偏平台导向。","产品表格 + 分部表格","TB_FIN_03_Apple_10K_4_1;TB_FIN_03_Apple_10K_27_2;C_FIN_01_NVIDIA_10K_80_1;C_FIN_01_NVIDIA_10K_81_1","4;5;26;27;38;79;80;81","table;text","原编号：Q018；证据位置：Apple Product Revenue 表；NVIDIA Segment 表；证据链说明：对比两家公司财务报表中的分类方式。"
"FIN034","金融类","NVIDIA 与 Apple 的核心收入来源在技术周期上分别受哪些因素驱动？请结合表格说明。","NVIDIA 收入主要受 AI 算力需求与数据中心扩张驱动；Apple 收入主要受 iPhone 更新周期和消费需求驱动。两家公司都高度依赖核心产品周期。","收入表格 + 产品结构表","T_FIN_01_NVIDIA_10K_80_3;T_FIN_01_NVIDIA_10K_79_3;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_4_1","79;80;81;4;5;26;27;38","table;text","原编号：Q022；证据位置：NVIDIA Segment Revenue；Apple Product Revenue；证据链说明：对比 AI 周期与消费电子周期。"
"FIN035","金融类","Microsoft 与 NVIDIA 在年报中的 AI 相关收入或业务指标，分别体现了哪些企业客户需求？","NVIDIA 体现企业对 GPU 与 AI 训练算力的需求；Microsoft 体现企业对 AI 云平台、Copilot 与 Azure 服务的需求。","财务表格 + 业务指标","TB_FIN_01_NVIDIA_10K_7_1;C_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2","4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71","table;text","原编号：Q023；证据位置：NVIDIA AI/Data Center 表；Microsoft Azure/Copilot 指标表；证据链说明：通过 AI 收入与业务指标分析企业需求差异。"
"FIN040","金融类","NVIDIA 与 Apple 在存货（Inventory）相关风险上分别体现了什么经营特点？","NVIDIA 的库存更受 AI 芯片需求波动影响；Apple 的库存则与消费电子周期和供应链管理相关。","存货附注表","TB_FIN_01_NVIDIA_10K_69_1;T_FIN_01_NVIDIA_10K_40_2;TB_FIN_03_Apple_10K_36_1;TB_FIN_03_Apple_10K_36_2","40;52;61;69;12;34;36","table;text","原编号：Q028；证据位置：NVIDIA Inventory Note；Apple Inventory Table；证据链说明：通过库存附注分析行业周期差异。"
"FIN041","金融类","Microsoft 与 NVIDIA 的客户集中度风险分别体现在哪些附注表格中？","NVIDIA 的收入较依赖大型 CSP 与 AI 企业客户；Microsoft 的客户基础更加分散。NVIDIA 客户集中度更高。","客户集中度表","T_FIN_01_NVIDIA_10K_43_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_22_1;TB_FIN_02_Microsoft_Annual_Report_71_1","5;43;54;80;10;22;23;24;25;71","table;text","原编号：Q029；证据位置：NVIDIA Customer Concentration；Microsoft Revenue Concentration Note；证据链说明：需要比较不同公司客户集中度披露。"
"FIN045","金融类","Apple 与 Microsoft 的经营现金流分别反映了怎样的商业模式稳定性？","两家公司都拥有极强经营现金流，但 Apple 更依赖消费电子生态变现，Microsoft 更依赖企业订阅与云服务。","现金流量表","TB_FIN_03_Apple_10K_36_1;TB_FIN_03_Apple_10K_36_2;TB_FIN_02_Microsoft_Annual_Report_38_1;TB_FIN_02_Microsoft_Annual_Report_38_2","36;38","table;text","原编号：Q033；证据位置：Apple Cash Flow Statement；Microsoft Cash Flow Table；证据链说明：通过经营现金流结构比较商业模式。"
"FIN046","金融类","NVIDIA、Apple 和 Microsoft 的研发费用（R&D）变化趋势分别体现了什么战略重点？","NVIDIA 的研发重点集中于 AI 芯片与平台；Microsoft 聚焦 AI、Copilot 与云；Apple 则聚焦芯片、自研系统与终端生态。","研发费用表","TB_FIN_01_NVIDIA_10K_63_1;C_FIN_01_NVIDIA_10K_63_1;T_FIN_02_Microsoft_Annual_Report_26_3;T_FIN_02_Microsoft_Annual_Report_26_1;TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_25_1","43;46;53;63;26;4;5;25;38;50","table;text","原编号：Q034；证据位置：NVIDIA R&D Table；Microsoft R&D Expense；Apple Research & Development 表；证据链说明：通过研发费用附注分析技术路线。"
"FIN047","金融类","Apple 与 NVIDIA 在“供应商依赖风险”附注中分别体现了哪些共同问题？","两家公司都依赖少数关键供应商和先进制造能力。Apple 更偏消费电子供应链，NVIDIA 更偏先进 AI 芯片制造与封装。","风险附注表","T_FIN_03_Apple_10K_4_1;T_FIN_03_Apple_10K_38_1;T_FIN_01_NVIDIA_10K_16_2;T_FIN_01_NVIDIA_10K_28_1","4;5;25;26;38;50;16;20;23;28;36","table;text","原编号：Q035；证据位置：Apple Supplier Risk；NVIDIA Supply Chain Risk；证据链说明：通过风险附注分析高端制造依赖。"
"FIN049","金融类","Tesla 与 NVIDIA 的收入结构分别体现了怎样的产业链定位差异？","Tesla 的收入主要来自汽车销售与能源业务；NVIDIA 的收入则主要来自数据中心与 AI 计算平台。Tesla 位于智能汽车终端层，NVIDIA 位于 AI 算力基础设施层。","收入分部表","TB_FIN_04_Tesla_10K_59_1;TB_FIN_04_Tesla_10K_66_1;TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1","44;46;59;66;110;79;80;81","table;text","原编号：Q037；证据位置：Tesla Revenue by Segment 表；NVIDIA Segment Revenue 表；证据链说明：对比汽车制造收入与 AI 基础设施收入结构。"
"FIN058","金融类","Tesla、NVIDIA 与 Microsoft 在 AI 产业链中分别位于哪个核心环节？请结合业务收入表分析。","NVIDIA 位于 AI 算力基础设施层；Microsoft 位于 AI 云平台与企业应用层；Tesla 位于 AI 自动驾驶与机器人终端应用层。","分部收入表 + 业务表","TB_FIN_04_Tesla_10K_110_1;TB_FIN_04_Tesla_10K_110_2;T_FIN_01_NVIDIA_10K_80_3;T_FIN_01_NVIDIA_10K_79_3;TB_FIN_02_Microsoft_Annual_Report_71_1;T_FIN_02_Microsoft_Annual_Report_23_1","44;46;59;66;110;79;80;81;22;23;24;25;71","table;text","原编号：Q046；证据位置：Tesla Segment Table；NVIDIA Segment Revenue；Microsoft Cloud Revenue；证据链说明：结合业务结构定位 AI 产业链层级。"
