question_id,doc_id,question,answer,question_type,gold_node_ids,gold_pages,gold_modalities,evidence_note
FIN019,金融类,NVIDIA 与 Apple 在供应链风险方面分别有哪些量化或结构化信息？这些信息说明了什么问题？,Apple 在供应链章节强调部分关键组件依赖有限供应商；NVIDIA 的 AI 芯片与先进封装同样依赖高端制造能力。两家公司都面临高端芯片供应链集中风险。,风险表格 + 文本,,,table;text,原编号：Q007；证据位置：Apple Supply Components；NVIDIA Risk Factors；证据链说明：从供应链结构和风险描述中建立跨文档联系。
FIN020,金融类,Microsoft Azure、NVIDIA AI 平台和 Apple 服务生态分别依赖哪些核心产品或平台支撑？请结合表格和产品分类分析。,Microsoft 依赖 Azure、Copilot 和 AI Foundry；NVIDIA 依赖 GPU、CUDA 与 Blackwell 平台；Apple 依赖 App Store、iCloud、Apple Music 等服务生态。三家公司都通过平台化形成长期收入来源。,产品分类表 + 平台说明,,,table;text,原编号：Q008；证据位置：Microsoft AI Products；NVIDIA Platform Stack；Apple Services 表；证据链说明：需要结合产品分类表与平台说明共同回答。
FIN021,金融类,Apple 和 Microsoft 在“服务化收入”方面有哪些共同趋势？,Apple 的服务收入持续增长，Microsoft 的云和 AI 服务收入快速扩张。两家公司都在降低对单一硬件产品的依赖，提高高毛利服务收入占比。,收入表格 + 业务分析,,,table;text,原编号：Q009；证据位置：Apple Services Revenue 表；Microsoft Cloud Revenue 表；证据链说明：通过收入结构变化分析商业模式升级。
FIN022,金融类,NVIDIA、Microsoft 与 Apple 的 AI 战略分别对应产业链中的哪个环节？请结合业务结构表说明。,NVIDIA 位于 AI 算力基础设施层；Microsoft 位于 AI 云平台与企业应用层；Apple 位于终端设备与消费生态层。三家公司共同构成 AI 产业链不同层级。,业务结构表 + 产品表,,,table;text,原编号：Q010；证据位置：NVIDIA Segment；Microsoft AI Platform；Apple Products & Services；证据链说明：需要跨多个业务结构表完成产业链定位分析。
FIN023,金融类,Apple 地区收入表与 Tesla 全球子公司分布信息共同体现了什么全球经营特点？,Apple 的收入高度国际化；Tesla 的大量海外子公司显示其全球制造与能源业务布局。两家公司都具有全球化运营特征，但 Apple 偏销售市场全球化，Tesla 偏制造与能源布局全球化。,地区收入表 + 子公司表,,,table;text,原编号：Q011；证据位置：Apple Segment Revenue；Tesla Subsidiaries 表；证据链说明：需要跨文档整合地区收入与全球实体布局信息。
FIN024,金融类,NVIDIA 和 Microsoft 在年报中分别如何用数据体现 AI 需求的快速增长？,NVIDIA 通过数据中心收入和 GPU 平台扩张体现 AI 算力需求；Microsoft 通过 Azure 收入增长、数据中心扩容和 Copilot 用户规模体现 AI 云需求增长。,财务表格 + 用户指标,,,table;text,原编号：Q012；证据位置：NVIDIA Revenue 表；Microsoft Azure/Copilot 数据；证据链说明：综合收入、用户规模和基础设施指标形成结论。
FIN025,金融类,NVIDIA 的 “Compute & Networking” 收入与 Apple 的 “Products” 收入分别占据各自公司的什么核心地位？两家公司收入结构有何不同？,NVIDIA 的收入高度集中于 Compute & Networking，体现 AI 算力平台驱动；Apple 的收入则主要来自 iPhone 等硬件产品。NVIDIA 更偏企业级 AI 基础设施，Apple 更偏消费电子终端。,分部收入表 + 产品收入表,,,table;text,原编号：Q013；证据位置：NVIDIA Segment Revenue 表；Apple Net Sales by Product 表；证据链说明：需要分别读取 NVIDIA 分部收入表与 Apple 产品收入表，对比核心收入来源。
FIN026,金融类,Apple 服务业务收入与 Microsoft Productivity and Business Processes 部门收入分别反映了怎样的“高粘性生态”商业模式？,Apple 服务业务依赖 iPhone 生态形成持续订阅与服务收入；Microsoft 的 Productivity and Business Processes 则依赖 Office、LinkedIn、Dynamics 等企业生态。两家公司都通过生态提高用户长期留存。,收入表格 + 部门结构表,,,table;text,原编号：Q014；证据位置：Apple Services Revenue 表；Microsoft Segment Revenue 表；证据链说明：通过高毛利服务类业务收入分析生态化战略。
FIN027,金融类,NVIDIA 与 Microsoft 在“基础设施型收入”上的增长分别体现在哪些表格数据中？,NVIDIA 的数据中心业务收入大幅增长；Microsoft 的 Intelligent Cloud 收入与 Azure 增长明显。两家公司都从 AI 基础设施需求中获益。,财务表格,,,table;text,原编号：Q015；证据位置：NVIDIA Data Center Revenue 表；Microsoft Intelligent Cloud Revenue 表；证据链说明：对比 AI 基础设施相关收入结构变化。
FIN028,金融类,Apple 的地区收入结构与 Microsoft 的地区数据中心布局分别说明了什么全球经营策略？,Apple 的收入集中在美洲、欧洲与大中华区，体现消费市场全球化；Microsoft 的数据中心覆盖全球多个区域，体现云基础设施全球化。,地区收入表 + 区域布局表,,,table;text,原编号：Q016；证据位置：Apple Reportable Segment 表；Microsoft Datacenter Regions 表；证据链说明：从收入来源与基础设施布局两个角度分析国际化。
FIN029,金融类,NVIDIA、Microsoft 与 Apple 哪家公司对“服务/平台型收入”的依赖程度更高？请结合业务表格说明。,Microsoft 对云与平台收入依赖最高；NVIDIA 对 AI 平台和数据中心收入依赖快速提升；Apple 仍以硬件销售为主，但服务收入占比持续增加。,分部收入表 + 产品收入表,,,table;text,原编号：Q017；证据位置：NVIDIA Segment 表；Microsoft Segment Revenue；Apple Product & Services Revenue；证据链说明：需要综合比较不同公司收入结构。
FIN030,金融类,Apple 的产品分类表与 NVIDIA 的业务分部表体现了哪些不同的收入组织逻辑？,Apple 按终端产品分类（iPhone、Mac、iPad、Services）；NVIDIA 按技术平台与业务场景分类（Compute & Networking、Graphics）。Apple 更偏产品导向，NVIDIA 更偏平台导向。,产品表格 + 分部表格,,,table;text,原编号：Q018；证据位置：Apple Product Revenue 表；NVIDIA Segment 表；证据链说明：对比两家公司财务报表中的分类方式。
FIN031,金融类,Microsoft 与 Apple 的现金流或资本回报表分别反映了怎样的成熟科技公司特征？,两家公司都具有稳定现金流，并持续进行股票回购和资本返还，体现成熟科技公司“高现金流+高股东回报”的特点。,回购表 + 现金流表,,,table;text,原编号：Q019；证据位置：Microsoft Share Repurchase 表；Apple Capital Return/Cash Flow 表；证据链说明：通过资本回报相关财务表建立联系。
FIN032,金融类,NVIDIA 数据中心业务与 Microsoft Intelligent Cloud 业务分别服务于 AI 产业链的哪个环节？,NVIDIA 主要提供 AI 训练与推理算力；Microsoft 则提供 AI 云平台与企业级部署环境。NVIDIA 位于算力层，Microsoft 位于平台服务层。,分部收入表 + 云业务表,,,table;text,原编号：Q020；证据位置：NVIDIA Data Center Revenue；Microsoft Intelligent Cloud Revenue；证据链说明：通过业务收入结构定位产业链层级。
FIN033,金融类,Apple 与 Microsoft 在“递延式/持续性收入”方面有哪些共同点？,Apple 服务订阅与 Microsoft Office/Azure 云订阅都属于持续性收入来源。两家公司都在降低一次性硬件收入波动影响。,服务收入表 + 云收入表,,,table;text,原编号：Q021；证据位置：Apple Services Revenue；Microsoft Cloud Revenue 表；证据链说明：需要结合服务化收入结构分析。
FIN034,金融类,NVIDIA 与 Apple 的核心收入来源在技术周期上分别受哪些因素驱动？请结合表格说明。,NVIDIA 收入主要受 AI 算力需求与数据中心扩张驱动；Apple 收入主要受 iPhone 更新周期和消费需求驱动。两家公司都高度依赖核心产品周期。,收入表格 + 产品结构表,,,table;text,原编号：Q022；证据位置：NVIDIA Segment Revenue；Apple Product Revenue；证据链说明：对比 AI 周期与消费电子周期。
FIN035,金融类,Microsoft 与 NVIDIA 在年报中的 AI 相关收入或业务指标，分别体现了哪些企业客户需求？,NVIDIA 体现企业对 GPU 与 AI 训练算力的需求；Microsoft 体现企业对 AI 云平台、Copilot 与 Azure 服务的需求。,财务表格 + 业务指标,,,table;text,原编号：Q023；证据位置：NVIDIA AI/Data Center 表；Microsoft Azure/Copilot 指标表；证据链说明：通过 AI 收入与业务指标分析企业需求差异。
FIN036,金融类,Apple、Microsoft 与 NVIDIA 的业务结构表中，哪家公司业务集中度最高？哪家公司业务更加多元化？,NVIDIA 的收入集中于 AI 数据中心相关业务，业务集中度最高；Apple 与 Microsoft 的业务结构更均衡，其中 Microsoft 在企业软件、云和生产力平台方面最为多元。,分部表格 + 收入结构表,,,table;text,原编号：Q024；证据位置：NVIDIA Segment 表；Apple Product Revenue；Microsoft Segment Revenue；证据链说明：通过不同业务收入占比判断集中度与多元化程度。
FIN037,金融类,Apple 与 Microsoft 的递延收入（Deferred Revenue）分别反映了哪些业务特点？,Apple 的递延收入主要来自服务订阅、保修和数字内容；Microsoft 的递延收入主要来自 Office、Azure 和企业长期合同。两家公司都具有较强的持续性收入特征。,财务附注表格,,,table;text,原编号：Q025；证据位置：Apple Deferred Revenue Note；Microsoft Unearned Revenue 表；证据链说明：需要跨两个附注表分析持续性收入结构。
FIN038,金融类,NVIDIA、Apple 和 Microsoft 在股票薪酬（Share-based Compensation）方面分别体现了什么人才激励特点？,三家公司都大规模采用股权激励。Microsoft 和 NVIDIA 更强调技术与 AI 人才长期激励；Apple 则更多体现成熟科技公司的稳定股权体系。,股权激励表格,,,table;text,原编号：Q026；证据位置：NVIDIA Stock Compensation Note；Apple Share-Based Compensation；Microsoft Stock Awards 表；证据链说明：通过股权激励费用和结构分析人才战略。
FIN039,金融类,Apple 与 Microsoft 的长期债务结构有哪些差异？,Apple 长期维持较大规模债券融资并结合现金回购；Microsoft 的债务结构更偏稳定企业融资。Apple 更强调资本回报优化。,长期债务表,,,table;text,原编号：Q027；证据位置：Apple Debt Note；Microsoft Long-term Debt 表；证据链说明：对比长期债务附注中的到期结构与融资目的。
FIN040,金融类,NVIDIA 与 Apple 在存货（Inventory）相关风险上分别体现了什么经营特点？,NVIDIA 的库存更受 AI 芯片需求波动影响；Apple 的库存则与消费电子周期和供应链管理相关。,存货附注表,,,table;text,原编号：Q028；证据位置：NVIDIA Inventory Note；Apple Inventory Table；证据链说明：通过库存附注分析行业周期差异。
FIN041,金融类,Microsoft 与 NVIDIA 的客户集中度风险分别体现在哪些附注表格中？,NVIDIA 的收入较依赖大型 CSP 与 AI 企业客户；Microsoft 的客户基础更加分散。NVIDIA 客户集中度更高。,客户集中度表,,,table;text,原编号：Q029；证据位置：NVIDIA Customer Concentration；Microsoft Revenue Concentration Note；证据链说明：需要比较不同公司客户集中度披露。
FIN042,金融类,Apple、Microsoft 与 NVIDIA 的现金及现金等价物结构体现了哪些财务特征？,三家公司都持有大量现金与短期投资，体现超大型科技公司高流动性特征；Apple 与 Microsoft 现金储备规模更稳定，NVIDIA 增长更快。,现金与投资表,,,table;text,原编号：Q030；证据位置：Apple Cash & Marketable Securities；Microsoft Cash Equivalents；NVIDIA Cash Table；证据链说明：通过资产负债表附注比较现金结构。
FIN043,金融类,Microsoft 与 Apple 在所得税（Income Tax）附注中分别体现了哪些全球化经营特点？,两家公司都涉及全球税率差异与海外利润分布；Apple 更强调国际销售市场影响，Microsoft 更强调全球企业服务业务。,所得税附注表,,,table;text,原编号：Q031；证据位置：Apple Income Taxes Note；Microsoft Income Tax Table；证据链说明：通过有效税率和地区税务结构分析全球化。
FIN044,金融类,NVIDIA 与 Microsoft 的资本支出（Capital Expenditure）增长分别与哪些业务扩张有关？,NVIDIA 的资本投入与 AI 基础设施和高性能计算相关；Microsoft 的资本支出则主要用于全球 AI 数据中心扩张。,现金流附注 + CAPEX 表,,,table;text,原编号：Q032；证据位置：NVIDIA Property & Equipment；Microsoft Capital Expenditure 表；证据链说明：结合资本开支与 AI 战略分析。
FIN045,金融类,Apple 与 Microsoft 的经营现金流分别反映了怎样的商业模式稳定性？,两家公司都拥有极强经营现金流，但 Apple 更依赖消费电子生态变现，Microsoft 更依赖企业订阅与云服务。,现金流量表,,,table;text,原编号：Q033；证据位置：Apple Cash Flow Statement；Microsoft Cash Flow Table；证据链说明：通过经营现金流结构比较商业模式。
FIN046,金融类,NVIDIA、Apple 和 Microsoft 的研发费用（R&D）变化趋势分别体现了什么战略重点？,NVIDIA 的研发重点集中于 AI 芯片与平台；Microsoft 聚焦 AI、Copilot 与云；Apple 则聚焦芯片、自研系统与终端生态。,研发费用表,,,table;text,原编号：Q034；证据位置：NVIDIA R&D Table；Microsoft R&D Expense；Apple Research & Development 表；证据链说明：通过研发费用附注分析技术路线。
FIN047,金融类,Apple 与 NVIDIA 在“供应商依赖风险”附注中分别体现了哪些共同问题？,两家公司都依赖少数关键供应商和先进制造能力。Apple 更偏消费电子供应链，NVIDIA 更偏先进 AI 芯片制造与封装。,风险附注表,,,table;text,原编号：Q035；证据位置：Apple Supplier Risk；NVIDIA Supply Chain Risk；证据链说明：通过风险附注分析高端制造依赖。
FIN048,金融类,Microsoft 与 Apple 的无形资产或商誉（Goodwill）结构分别反映了哪些并购特点？,Microsoft 的商誉规模更大，体现长期企业软件和平台收购；Apple 的商誉相对有限，更偏内部生态构建。,商誉附注表,,,table;text,原编号：Q036；证据位置：Microsoft Goodwill Table；Apple Intangible Assets Note；证据链说明：通过并购相关附注分析扩张方式。
FIN049,金融类,Tesla 与 NVIDIA 的收入结构分别体现了怎样的产业链定位差异？,Tesla 的收入主要来自汽车销售与能源业务；NVIDIA 的收入则主要来自数据中心与 AI 计算平台。Tesla 位于智能汽车终端层，NVIDIA 位于 AI 算力基础设施层。,收入分部表,,,table;text,原编号：Q037；证据位置：Tesla Revenue by Segment 表；NVIDIA Segment Revenue 表；证据链说明：对比汽车制造收入与 AI 基础设施收入结构。
FIN050,金融类,Tesla 能源业务与 Microsoft 云基础设施业务分别体现了怎样的长期基础设施战略？,Tesla 持续扩展储能与能源系统；Microsoft 持续建设全球 AI 数据中心。两家公司都在建设长期基础设施型业务，但一个偏能源，一个偏云计算。,业务收入表 + 基础设施数据,,,table;text,原编号：Q038；证据位置：Tesla Energy Generation and Storage 表；Microsoft Datacenter/Cloud 表；证据链说明：通过长期资本投入相关业务比较基础设施战略。
FIN051,金融类,Tesla 与 Apple 的存货结构分别反映了哪些行业经营特点？,Tesla 的存货更多与汽车制造、供应链和产能扩张相关；Apple 的存货则与消费电子产品周期相关。Tesla 的制造属性更强。,存货附注表,,,table;text,原编号：Q039；证据位置：Tesla Inventory Note；Apple Inventory Table；证据链说明：对比汽车行业与消费电子行业库存逻辑。
FIN052,金融类,Tesla 与 NVIDIA 的资本支出增长分别与哪些核心业务扩张有关？,Tesla 的资本支出主要用于超级工厂、汽车产能与能源设施；NVIDIA 的资本投入则主要围绕 AI 基础设施与高性能计算平台。,资本支出表,,,table;text,原编号：Q040；证据位置：Tesla Property and Equipment 表；NVIDIA Capital Expenditure Note；证据链说明：从固定资产和资本支出附注分析扩张方向。
FIN053,金融类,Tesla 与 Microsoft 在递延收入（Deferred Revenue）结构上有哪些差异？,Tesla 的递延收入更多来自汽车相关软件和服务；Microsoft 的递延收入主要来自长期云服务和企业订阅合同。Microsoft 的持续订阅属性更强。,递延收入表,,,table;text,原编号：Q041；证据位置：Tesla Deferred Revenue Note；Microsoft Unearned Revenue 表；证据链说明：比较不同商业模式下的递延收入来源。
FIN054,金融类,Tesla 与 Apple 的地区市场结构分别体现了哪些全球化经营特征？,Tesla 的收入与制造布局高度全球化；Apple 的收入则主要依赖全球消费市场。Tesla 更强调全球生产体系，Apple 更强调全球销售体系。,地区收入表,,,table;text,原编号：Q042；证据位置：Tesla Geographic Revenue 表；Apple Reportable Segment Revenue 表；证据链说明：结合地区收入与全球运营结构分析。
FIN055,金融类,Tesla 与 NVIDIA 的研发费用增长分别反映了哪些技术方向？,Tesla 的研发主要集中于自动驾驶、电池和机器人；NVIDIA 的研发则集中于 AI 芯片、GPU 和 AI 平台。两家公司都高度依赖技术创新驱动增长。,研发费用表,,,table;text,原编号：Q043；证据位置：Tesla R&D Expense 表；NVIDIA R&D Table；证据链说明：通过研发费用附注比较技术路线。
FIN056,金融类,Tesla 与 Microsoft 的长期资产投入分别体现了怎样的扩张模式？,Tesla 的长期资产主要投向工厂与制造设施；Microsoft 的长期资产更多投向数据中心与云基础设施。,固定资产表,,,table;text,"原编号：Q044；证据位置：Tesla Property, Plant and Equipment 表；Microsoft Property and Equipment 表；证据链说明：通过固定资产附注比较重资产方向。"
FIN057,金融类,Tesla 与 Apple 的现金流结构分别反映了怎样的公司发展阶段？,Tesla 仍保持较强扩张属性，资本支出占比较高；Apple 则体现成熟消费科技公司的稳定现金回报与高经营现金流。,现金流量表,,,table;text,原编号：Q045；证据位置：Tesla Cash Flow Statement；Apple Cash Flow Statement；证据链说明：对比成长型制造企业与成熟消费科技企业。
FIN058,金融类,Tesla、NVIDIA 与 Microsoft 在 AI 产业链中分别位于哪个核心环节？请结合业务收入表分析。,NVIDIA 位于 AI 算力基础设施层；Microsoft 位于 AI 云平台与企业应用层；Tesla 位于 AI 自动驾驶与机器人终端应用层。,分部收入表 + 业务表,,,table;text,原编号：Q046；证据位置：Tesla Segment Table；NVIDIA Segment Revenue；Microsoft Cloud Revenue；证据链说明：结合业务结构定位 AI 产业链层级。
